#Top: ios   Floorplan: io_1   Part: xc7a35tfgg484-1,,,,,,,,,,,,
#Generated by: kremerme   on: Mon Mar  8 10:36:28 2021,,,,,,,,,,,,
#Build: Vivado v2020.2   by: xbuild   on: Wed Nov 18 09:12:47 MST 2020,,,,,,,,,,,,
#Package Version: FINAL 2013-11-27,,,,,,,,,,,,
#Package Pin Delay Version: VERS. 2.0 2013-11-27,,,,,down 100,,,,,,,
,,,,maybe,maybe,,,,,,,
IO Bank,LEAD,Pin Name,Pin Number,"X, pos","Y, Pos",const,"U,D,L,R",const,const,sheet?,const,type
35,X,IO_L6P_T0_35,F3,500,-1100,100,L,50,50,8,0,I
35,X,IO_L6N_T0_VREF_35,E3,500,-1200,100,L,50,50,8,0,I
35,X,IO_L7P_T1_AD6P_35,K1,500,-1300,100,L,50,50,8,0,I
35,X,IO_L7N_T1_AD6N_35,J1,500,-1400,100,L,50,50,8,0,I
35,X,IO_L8P_T1_AD14P_35,H2,500,-1500,100,L,50,50,8,0,I
35,X,IO_L8N_T1_AD14N_35,G2,500,-1600,100,L,50,50,8,0,I
35,X,IO_L9P_T1_DQS_AD7P_35,K2,500,-1700,100,L,50,50,8,0,I
35,X,IO_L9N_T1_DQS_AD7N_35,J2,500,-1800,100,L,50,50,8,0,I
35,X,IO_L10P_T1_AD15P_35,J5,500,-1900,100,L,50,50,8,0,I
35,X,IO_L10N_T1_AD15N_35,H5,500,-2000,100,L,50,50,8,0,I
35,X,IO_L11P_T1_SRCC_35,H3,500,-2100,100,L,50,50,8,0,I
35,X,IO_L11N_T1_SRCC_35,G3,500,-2200,100,L,50,50,8,0,I
35,X,IO_L12P_T1_MRCC_35,H4,500,-2300,100,L,50,50,8,0,I
35,X,IO_L12N_T1_MRCC_35,G4,500,-2400,100,L,50,50,8,0,I
35,X,IO_L13P_T2_MRCC_35,K4,500,-2500,100,L,50,50,8,0,I
35,X,IO_L13N_T2_MRCC_35,J4,500,-2600,100,L,50,50,8,0,I
35,X,IO_L14P_T2_SRCC_35,L3,500,-2700,100,L,50,50,8,0,I
35,X,IO_L14N_T2_SRCC_35,K3,500,-2800,100,L,50,50,8,0,I
35,X,IO_L15P_T2_DQS_35,M1,500,-2900,100,L,50,50,8,0,I
35,X,IO_L15N_T2_DQS_35,L1,500,-3000,100,L,50,50,8,0,I
35,X,IO_L16P_T2_35,M3,500,-3100,100,L,50,50,8,0,I
35,X,IO_L16N_T2_35,M2,500,-3200,100,L,50,50,8,0,I
35,X,IO_L17P_T2_35,K6,500,-3300,100,L,50,50,8,0,I
35,X,IO_L17N_T2_35,J6,500,-3400,100,L,50,50,8,0,I
35,X,IO_L18P_T2_35,L5,500,-3500,100,L,50,50,8,0,I
35,X,IO_L18N_T2_35,L4,500,-3600,100,L,50,50,8,0,I
35,X,IO_L19P_T3_35,N4,500,-3700,100,L,50,50,8,0,I
35,X,IO_L19N_T3_VREF_35,N3,500,-3800,100,L,50,50,8,0,I
